id,title,funding_organization,maximum_monetary_value,desired_amount,application_date,deadline,status
GR-A325570-DO1,"Automated mobile implementation","Dominguez Ltd Fund",27418.99,16197.76,2022-05-21,2024-05-05,Pending
GR-A328926-HO0,"Ameliorated dedicated Graphical User Interface","Howe, Stevens and Brooks Trust",87526.54,74009.36,2022-06-20,2024-11-19,Approved
GR-A355064-BU8,"Advanced tangible analyzer","Burke, Campbell and Watson Fund",39426.01,26866.49,2022-06-18,2024-09-17,Pending
GR-A362449-DE7,"Advanced 24hour complexity","Dennis, Beard and Hinton Council",90833.47,78075.83,2023-02-17,2024-08-14,Pending
GR-A371102-AR2,"Adaptive explicit definition","Arnold, Clark and Wright Endowment",25156.18,21092.45,2023-06-22,2025-02-02,Denied
GR-A379168-WI6,"Adaptive reciprocal software","Williams-Smith Fund",72307.06,50576.17,2023-09-06,2024-11-27,Pending
GR-A405828-WA0,"Adaptive stable leverage","Watson-Phillips Fund",22441.18,16544.21,2022-05-30,2025-02-03,Pending
GR-A406566-PA2,"Automated zero tolerance concept","Parker-Schaefer Council",38486.58,25911.09,2023-01-22,2024-07-08,Pending
GR-A407722-LE5,"Advanced regional superstructure","Leonard, Joyce and Thompson Foundation",68287.74,58567.77,2022-07-05,2024-10-01,Denied
GR-A413096-ST8,"Advanced upward-trending open architecture","Stanton-Forbes Foundation",70422.04,49374.56,2023-08-18,2024-05-09,Approved
GR-A427860-AL6,"Automated well-modulated support","Alexander, Bowen and Reese Endowment",78202.10,44509.28,2024-02-26,2024-08-22,Approved
GR-A436054-GO7,"Adaptive human-resource Local Area Network","Gonzalez, Powell and Lopez Council",48372.21,38522.17,2023-09-27,2025-01-13,Denied
GR-A436260-CL5,"Assimilated zero tolerance Internet solution","Clark-Sampson Institute",43422.48,22785.16,2023-09-15,2025-03-26,Pending
GR-A442261-GU8,"Advanced static leverage","Gutierrez-Arias Council",85688.93,71965.04,2022-06-08,2024-08-23,Pending
GR-A460784-CA9,"Adaptive global projection","Carpenter, Vance and Bush Federation",80172.31,60947.32,2022-07-19,2025-01-13,Denied
GR-A485623-DA1,"Assimilated modular database","Davis-Simmons Endowment",67753.51,59567.34,2022-06-11,2024-08-30,Approved
GR-A499443-MA7,"Automated zero administration hierarchy","Manning, Chen and Campbell Federation",64648.83,51347.13,2023-04-17,2024-12-29,Denied
GR-A500734-JO4,"Advanced asynchronous forecast","Johnson Ltd Fund",18203.22,11080.58,2022-10-24,2024-11-17,Denied
GR-A505093-JO4,"Adaptive real-time protocol","Johnson, Cline and Patterson Foundation",46368.31,36892.50,2024-03-24,2025-03-03,Approved
GR-A512492-MC1,"Automated fault-tolerant hardware","Mcdowell PLC Federation",28549.00,15704.76,2023-10-21,2024-11-04,Denied
GR-A524978-MC1,"Ameliorated optimal Internet solution","Mcconnell Inc Foundation",24909.57,16691.45,2023-03-11,2024-12-18,Pending
GR-A526475-DA5,"Ameliorated fault-tolerant projection","Davis LLC Institute",60023.78,47438.56,2022-08-15,2024-10-17,Pending
GR-A527067-FR9,"Adaptive asymmetric infrastructure","Franco, Flores and Rodriguez Fund",16455.60,8495.87,2023-08-29,2024-08-30,Approved
GR-A535051-BA3,"Ameliorated explicit matrices","Barrera-James Trust",85952.27,70849.44,2023-06-03,2025-01-29,Approved
GR-A536817-AL5,"Assimilated cohesive Internet solution","Alvarez-Pierce Council",83779.38,68654.17,2023-11-15,2024-03-30,Approved
GR-A548949-CR2,"Assimilated user-facing methodology","Cruz-Arnold Trust",70402.56,57169.75,2022-06-12,2024-07-22,Pending
GR-A551054-TH7,"Ameliorated needs-based model","Thompson, Roberts and Simmons Foundation",96878.59,72837.47,2024-02-17,2024-12-14,Pending
GR-A554684-MC3,"Adaptive national synergy","Mcmillan, Ray and Bailey Endowment",51223.65,27899.89,2022-10-03,2024-07-23,Denied
GR-A589428-RE3,"Automated solution-oriented leverage","Reynolds PLC Council",20547.83,15786.32,2023-01-03,2024-12-13,Denied
GR-A600441-JE7,"Assimilated logistical instruction set","Jenkins, Williams and Murray Fund",99724.77,72257.28,2023-07-07,2025-01-14,Pending
GR-A603616-BE9,"Assimilated system-worthy Graphic Interface","Bennett, Pham and Moon Endowment",76411.92,52455.83,2022-06-09,2025-02-20,Pending
GR-A606751-PA1,"Automated solution-oriented groupware","Parker, Bray and Savage Foundation",23852.10,18018.92,2023-05-21,2024-06-15,Pending
GR-A627112-AN0,"Advanced dedicated hierarchy","Anderson, Brown and Mccoy Council",46274.13,26057.99,2022-08-30,2024-05-15,Pending
GR-A633974-LA4,"Automated clear-thinking analyzer","Larson, Wright and Russell Council",50221.61,30241.52,2023-10-04,2024-08-24,Approved
GR-A640891-CL5,"Advanced national time-frame","Clayton, Walker and Washington Fund",47079.29,40282.86,2022-06-05,2024-11-25,Pending
GR-A663136-ME0,"Advanced full-range methodology","Mendoza-Campbell Foundation",34600.90,17528.72,2022-08-20,2024-11-26,Approved
GR-A664836-PA6,"Assimilated user-facing process improvement","Padilla LLC Fund",36096.55,22791.03,2023-05-16,2024-05-08,Pending
GR-A680401-MU8,"Ameliorated hybrid definition","Mueller, Hood and Roberts Trust",53776.81,34175.83,2024-03-08,2024-08-24,Approved
GR-A683154-LI0,"Adaptive responsive groupware","Lindsey, Barrett and Davis Federation",16155.92,10727.63,2023-02-10,2025-03-03,Pending
GR-A689616-CR4,"Adaptive content-based definition","Cruz LLC Foundation",52635.58,35841.11,2023-05-24,2024-05-21,Approved
GR-A692602-WA9,"Ameliorated modular data-warehouse","Warren, Larsen and Simpson Federation",90092.41,77718.90,2024-02-09,2024-06-04,Denied
GR-A701341-JO3,"Assimilated high-level matrices","Johnson-Lewis Foundation",30027.53,15893.96,2024-03-13,2024-10-23,Denied
GR-A713538-MC1,"Automated responsive solution","Mccullough and Sons Institute",74048.72,59342.01,2023-05-11,2024-09-24,Approved
GR-A720192-SM8,"Adaptive grid-enabled interface","Smith LLC Trust",19632.63,10832.53,2023-04-18,2024-08-04,Pending
GR-A735213-HU6,"Ameliorated logistical open architecture","Hurley Inc Endowment",61096.82,49594.48,2023-07-06,2024-07-12,Pending
GR-A749569-WA4,"Adaptive uniform project","Ward and Sons Institute",12905.39,6622.00,2022-11-24,2024-09-23,Approved
GR-A754045-MA3,"Automated contextually-based methodology","Maldonado, Prince and Ray Institute",57214.66,37864.25,2023-09-13,2024-12-16,Approved
GR-A762783-BO3,"Advanced disintermediate access","Boyd, Velasquez and Miller Fund",55408.58,32666.90,2022-04-23,2024-11-05,Denied
GR-A775414-TH4,"Automated zero administration adapter","Thornton-Campbell Fund",80256.89,71279.36,2022-08-14,2024-08-28,Pending
GR-A780162-LU3,"Ameliorated hybrid initiative","Luna Group Council",64644.34,38184.42,2024-02-13,2024-12-26,Pending
GR-A782274-RA3,"Ameliorated upward-trending capability","Ray PLC Fund",12703.45,8462.53,2024-02-13,2025-03-12,Approved
GR-A794579-SA1,"Advanced static moratorium","Santana Group Institute",39487.54,23960.70,2023-07-31,2024-07-03,Denied
GR-A796641-HE2,"Advanced fault-tolerant data-warehouse","Henderson and Sons Federation",58270.68,35161.26,2024-03-02,2024-07-31,Pending
GR-A804588-RY0,"Ameliorated background ability","Ryan-Carter Council",16789.73,9045.77,2022-09-30,2024-04-06,Denied
GR-A811846-AD8,"Automated even-keeled orchestration","Adams, Anderson and Lane Institute",85032.94,46105.53,2023-05-18,2024-10-01,Approved
GR-A812589-GA1,"Automated system-worthy product","Galloway Ltd Council",48354.86,28989.58,2023-01-01,2024-07-08,Pending
GR-A817697-HE9,"Adaptive bifurcated open system","Hernandez-Cardenas Foundation",40373.88,24839.04,2023-11-29,2024-08-31,Denied
GR-A831501-GU2,"Adaptive transitional leverage","Gutierrez-Krause Endowment",94915.98,68065.38,2022-06-22,2024-12-30,Pending
GR-A841189-WA1,"Assimilated maximized software","Watson Ltd Fund",24897.47,21822.54,2022-08-11,2024-07-20,Pending
GR-A848361-SA1,"Ameliorated human-resource throughput","Sanchez-Flores Fund",88756.71,46022.35,2023-05-01,2025-01-19,Denied
GR-A853913-ST8,"Adaptive holistic success","Stephenson-Jones Institute",35569.20,25513.17,2023-01-28,2024-09-01,Approved
GR-A860321-RO4,"Ameliorated 4thgeneration concept","Rodriguez Ltd Institute",49486.86,41788.88,2022-11-14,2024-07-14,Approved
GR-A864745-LI1,"Ameliorated homogeneous definition","Liu, Marshall and Reed Foundation",19012.67,16113.17,2023-01-31,2024-04-26,Pending
GR-A872699-JA2,"Ameliorated heuristic customer loyalty","James, Williams and Davis Foundation",52528.84,33344.20,2023-02-12,2024-10-28,Approved
GR-A875525-CO6,"Assimilated interactive moderator","Contreras, Sims and Woodward Trust",42384.55,34899.94,2023-08-26,2024-06-27,Approved
GR-A883827-RO0,"Ameliorated content-based infrastructure","Roberts PLC Foundation",49240.51,40676.64,2023-07-10,2024-10-23,Approved
GR-A890411-SH7,"Automated explicit hierarchy","Shepard-Taylor Institute",37814.04,32005.26,2023-06-07,2024-11-30,Pending
GR-A907045-TA5,"Adaptive eco-centric knowledge user","Taylor Group Trust",84483.92,43545.58,2024-03-05,2024-07-18,Approved
GR-A911235-ZI5,"Assimilated full-range service-desk","Zimmerman-Day Institute",31115.77,19766.50,2023-04-25,2025-02-19,Approved
GR-A920844-CA0,"Advanced regional workforce","Carr-Novak Foundation",82581.36,63292.05,2023-02-10,2024-07-14,Denied
GR-A932103-DE3,"Ameliorated content-based customer loyalty","Dennis Ltd Council",42055.51,33213.19,2022-08-13,2024-06-29,Approved
GR-A938742-HE2,"Automated local toolset","Hernandez PLC Fund",10509.93,6646.50,2023-01-02,2024-12-31,Denied
GR-A938871-IB2,"Advanced transitional help-desk","Ibarra-Bradford Institute",27054.19,22433.64,2022-09-22,2025-02-05,Denied
GR-A946108-SE8,"Assimilated demand-driven migration","Sellers-Chavez Trust",73744.75,48435.57,2023-08-08,2025-01-11,Pending
GR-A955202-SM8,"Advanced clear-thinking circuit","Smith, Murphy and Carlson Trust",46560.32,27671.96,2023-03-08,2025-02-13,Pending
GR-A961141-JO1,"Assimilated 5thgeneration focus group","Jones, Thompson and Baker Foundation",34458.59,30142.45,2022-08-21,2024-10-28,Pending
GR-A977054-GO6,"Automated web-enabled intranet","Gonzalez Group Foundation",54808.60,40880.19,2023-05-16,2024-09-01,Pending
GR-A983614-DA3,"Assimilated didactic analyzer","Daugherty-Anderson Fund",51400.17,42313.00,2022-12-23,2024-10-13,Approved
GR-A990527-LI7,"Advanced object-oriented infrastructure","Lin Group Foundation",68778.41,58619.17,2022-09-17,2024-06-22,Approved
GR-A990790-WA6,"Assimilated transitional standardization","Walton-Daniels Foundation",27171.29,19775.75,2023-06-26,2024-10-20,Approved
GR-B104867-BU3,"Business-focused multimedia Graphical User Interface","Buchanan, Meyer and Diaz Foundation",50914.11,45537.29,2022-06-13,2024-07-03,Approved
GR-B172023-WI4,"Balanced executive methodology","Williams PLC Institute",18508.55,15137.69,2023-04-04,2024-05-22,Denied
GR-B175445-CA0,"Balanced solution-oriented orchestration","Casey-Allison Federation",20814.75,16831.90,2022-07-10,2024-09-22,Approved
GR-B240181-GA2,"Balanced reciprocal structure","Gates PLC Fund",73387.52,46941.26,2023-05-22,2025-02-13,Approved
GR-B249101-TH0,"Balanced heuristic neural-net","Thomas-Lyons Institute",95608.09,74436.97,2023-11-20,2024-07-23,Pending
GR-B250473-AC0,"Business-focused static open system","Acosta Ltd Trust",22843.54,13051.46,2024-03-10,2024-11-21,Approved
GR-B251175-PA9,"Balanced zero administration model","Parks, Pacheco and Murray Endowment",12643.69,10697.90,2022-11-19,2024-08-23,Pending
GR-B252439-CH4,"Balanced encompassing archive","Chan, Frazier and Hensley Foundation",36056.98,24782.83,2022-04-04,2024-10-08,Approved
GR-B278474-SH9,"Balanced multi-state software","Shaw, Johnson and Wang Foundation",86087.15,61516.94,2024-01-09,2025-02-18,Approved
GR-B304767-HO8,"Balanced 3rdgeneration concept","Holland Group Endowment",27416.08,13772.27,2022-12-08,2024-11-29,Pending
GR-B307476-HA8,"Business-focused radical matrix","Harrison-Hansen Institute",76346.04,60663.31,2022-11-18,2024-06-20,Approved
GR-B353081-LY0,"Balanced actuating implementation","Lynch-Flores Fund",16207.63,11732.95,2023-04-10,2024-08-04,Denied
GR-B436433-WA3,"Business-focused exuding emulation","Watson Inc Institute",16598.37,14436.97,2023-01-13,2025-01-29,Pending
GR-B446476-WA3,"Business-focused 6thgeneration ability","Walker PLC Foundation",95269.34,53273.47,2024-01-03,2025-02-16,Approved
GR-B462488-TH8,"Business-focused impactful strategy","Thomas-Grant Council",89155.36,70533.56,2024-02-18,2024-05-08,Denied
GR-B469197-ME0,"Balanced bandwidth-monitored firmware","Mendoza, Johnson and Garrison Trust",63434.56,54385.73,2023-05-20,2024-09-17,Approved
GR-B485234-OC1,"Business-focused real-time encryption","Ochoa, Esparza and Reed Trust",81590.64,50708.43,2023-05-11,2024-07-30,Pending
GR-B486749-MY2,"Business-focused heuristic attitude","Myers and Sons Council",45111.08,29541.77,2023-07-22,2024-04-16,Pending
GR-B519546-CA9,"Balanced bifurcated adapter","Campbell, Williams and Chandler Institute",51301.74,40595.77,2022-05-09,2025-02-10,Pending
GR-B578729-BA0,"Balanced directional policy","Bailey-Nelson Fund",19206.91,14171.10,2024-01-10,2025-01-14,Pending
GR-B581757-OW6,"Balanced next generation analyzer","Owens-Mitchell Endowment",48630.60,36667.51,2023-07-16,2024-05-04,Approved
GR-B592775-MA6,"Balanced attitude-oriented focus group","Martin-Suarez Institute",70228.27,50080.67,2023-05-26,2025-01-26,Denied
GR-B624078-HE7,"Business-focused local budgetary management","Hensley Group Institute",85875.83,69945.81,2022-06-27,2024-08-03,Approved
GR-B624811-LO2,"Business-focused dynamic toolset","Lopez, Mcmahon and Mejia Foundation",63281.44,40282.55,2023-11-22,2024-09-18,Pending
GR-B632741-KA8,"Business-focused multimedia support","Kaiser-Pruitt Endowment",75039.70,51434.41,2022-04-28,2024-10-15,Approved
GR-B665000-GR1,"Business-focused 6thgeneration focus group","Griffin, Walker and Smith Institute",36254.03,29379.48,2023-05-21,2025-03-18,Denied
GR-B715182-OL6,"Business-focused modular task-force","Olson-Durham Institute",60586.46,52905.35,2023-10-06,2025-03-23,Pending
GR-B752055-HE8,"Balanced demand-driven capacity","Hernandez and Sons Trust",86722.83,53970.42,2022-12-08,2024-03-28,Approved
GR-B765814-WA7,"Business-focused encompassing hub","Wall, Richardson and Jones Trust",39393.49,28634.51,2023-01-07,2024-08-27,Denied
GR-B784410-SI0,"Business-focused multi-state middleware","Singh-Sawyer Foundation",64384.66,39970.14,2022-03-30,2024-08-01,Denied
GR-B786997-HA4,"Balanced directional structure","Hays-Park Trust",14090.26,12244.67,2022-10-14,2025-03-21,Approved
GR-B793248-NG2,"Balanced actuating extranet","Nguyen Ltd Fund",15380.93,13493.14,2024-01-22,2024-06-14,Approved
GR-B816119-CO8,"Balanced object-oriented open system","Cook, Harris and Neal Council",32089.06,17421.60,2023-04-28,2024-10-06,Pending
GR-B822481-LI9,"Business-focused even-keeled function","Little Ltd Endowment",94663.74,66599.83,2024-01-29,2024-09-16,Pending
GR-B846164-BA4,"Business-focused incremental parallelism","Barton, Moore and Johnson Fund",36594.70,19772.03,2022-11-24,2024-05-11,Pending
GR-B982173-JO1,"Business-focused heuristic approach","Johnson-Li Council",14818.45,11608.50,2023-01-21,2024-09-09,Pending
GR-B994564-GI1,"Balanced composite portal","Gibbs-Jimenez Trust",34013.92,22378.90,2022-06-21,2024-07-24,Denied
GR-C101234-NE2,"Centralized dedicated database","Nelson-Walton Institute",44941.04,29457.45,2023-01-12,2025-01-07,Approved
GR-C115294-MO2,"Cloned context-sensitive approach","Morgan-Harvey Institute",98179.63,87414.78,2022-08-12,2025-01-27,Approved
GR-C117553-DA0,"Cloned asymmetric help-desk","Davis-Brown Endowment",89165.68,45974.96,2022-05-20,2024-08-21,Pending
GR-C123015-GA6,"Compatible tertiary matrices","Garcia, Blair and Jackson Federation",73000.26,55365.26,2023-02-26,2024-10-27,Approved
GR-C132389-BL0,"Cross-group demand-driven task-force","Blake Inc Trust",45274.04,28883.33,2022-12-10,2024-11-15,Denied
GR-C134162-MO6,"Customer-focused grid-enabled standardization","Morales-Donovan Trust",55586.97,43898.26,2022-12-16,2024-11-12,Denied
GR-C139064-PA8,"Cross-platform real-time utilization","Patterson LLC Federation",41781.67,27818.31,2022-08-08,2024-09-22,Denied
GR-C141555-MO1,"Compatible leadingedge matrix","Monroe, Torres and Bryant Federation",65848.55,55174.63,2023-03-01,2024-04-06,Pending
GR-C142852-CA5,"Cross-group uniform contingency","Carpenter-Cruz Trust",18561.07,13019.98,2023-05-25,2024-08-05,Approved
GR-C144704-GO8,"Customizable non-volatile complexity","Gordon, Flores and Foster Federation",45268.28,37561.23,2023-07-18,2024-06-11,Pending
GR-C145057-WI8,"Compatible high-level model","Wilson, White and Palmer Fund",94614.64,85116.13,2023-06-18,2024-10-02,Denied
GR-C156915-RA6,"Compatible zero administration extranet","Randolph-Turner Endowment",61542.49,40242.93,2022-09-26,2024-08-12,Pending
GR-C158096-CO2,"Customizable client-server architecture","Cohen, Scott and Acevedo Council",63501.89,49034.75,2023-01-22,2024-04-02,Pending
GR-C158768-ZI3,"Compatible system-worthy firmware","Zimmerman-Chavez Council",81533.75,47560.52,2022-06-03,2025-01-25,Approved
GR-C163538-BE8,"Cloned full-range productivity","Berry-Walters Endowment",55141.05,34040.24,2023-08-28,2025-02-10,Approved
GR-C168227-JO5,"Centralized explicit process improvement","Johnson-Miller Fund",75831.69,44049.99,2023-03-15,2024-10-26,Denied
GR-C168943-WI2,"Customer-focused intermediate data-warehouse","Williams, Castro and Haney Foundation",87494.76,65587.05,2023-09-02,2024-12-18,Pending
GR-C176301-DU2,"Cross-group homogeneous secured line","Dunlap-Booker Council",64477.00,42518.63,2022-06-12,2024-10-30,Approved
GR-C178139-PI3,"Customer-focused 6thgeneration archive","Pierce LLC Trust",52575.93,47034.95,2023-07-23,2024-12-27,Denied
GR-C179113-RA8,"Customizable attitude-oriented artificial intelligence","Ramos and Sons Foundation",86361.85,61465.42,2023-01-08,2024-11-16,Denied
GR-C185229-BR2,"Compatible dynamic capacity","Briggs Ltd Endowment",85246.19,56389.27,2022-07-22,2024-12-17,Denied
GR-C190577-GO0,"Configurable discrete strategy","Gonzalez Ltd Fund",24223.25,17576.94,2023-01-20,2024-05-16,Approved
GR-C197499-DA2,"Cross-group motivating database","Davis-Harris Institute",23993.81,18719.56,2023-04-22,2024-10-17,Denied
GR-C227896-RE1,"Centralized reciprocal utilization","Reynolds Ltd Trust",49540.16,37012.30,2024-02-01,2025-01-12,Approved
GR-C229217-HE0,"Compatible human-resource solution","Henderson, Chang and Keller Foundation",53579.22,43584.92,2022-04-20,2024-07-25,Pending
GR-C229781-RA2,"Configurable uniform architecture","Raymond, Olsen and Cruz Institute",89983.97,69744.11,2023-12-22,2024-04-06,Pending
GR-C230534-RI4,"Customizable intangible migration","Rice Ltd Foundation",18192.36,13909.84,2023-03-14,2025-01-22,Pending
GR-C234488-MI1,"Centralized fault-tolerant Graphic Interface","Miller Group Endowment",48919.41,36202.75,2024-03-11,2024-09-06,Pending
GR-C240817-WA2,"Cloned 24/7 encryption","Walton, Kim and Lopez Federation",68438.08,35197.59,2022-07-22,2025-03-01,Approved
GR-C241016-GA6,"Cloned eco-centric functionalities","Gallagher-Cummings Fund",48372.32,24696.53,2023-01-06,2024-10-02,Pending
GR-C242886-WA5,"Cross-platform fresh-thinking data-warehouse","Wallace LLC Federation",75948.46,41902.33,2022-11-25,2024-09-16,Pending
GR-C245351-GO5,"Compatible zero tolerance analyzer","Gonzales-Chapman Federation",78812.01,56868.53,2022-11-15,2024-06-01,Approved
GR-C262287-FO1,"Customizable fresh-thinking conglomeration","Fox-Murray Foundation",35044.39,21990.97,2022-09-01,2024-12-26,Approved
GR-C265098-WI7,"Centralized eco-centric approach","Wilson-Perry Trust",61203.97,49603.68,2023-06-07,2024-07-28,Approved
GR-C275645-LO9,"Configurable 24hour time-frame","Lopez Inc Fund",16561.74,9750.09,2023-03-29,2024-08-29,Pending
GR-C278617-MA8,"Cloned heuristic access","Massey, Rogers and Turner Foundation",93893.79,75231.45,2022-04-28,2024-07-11,Pending
GR-C298848-RU4,"Cross-group client-server definition","Ruiz-Ballard Endowment",86275.02,72414.19,2023-07-24,2024-08-08,Pending
GR-C302750-HA4,"Cloned intermediate definition","Hamilton, Morrison and Green Trust",66225.79,53903.77,2023-07-04,2024-11-11,Pending
GR-C303173-WH3,"Configurable discrete approach","Wheeler-House Trust",82071.79,72479.87,2022-04-03,2024-07-28,Pending
GR-C314757-KE7,"Cross-group real-time flexibility","Keller and Sons Federation",36107.38,23675.05,2023-10-17,2024-12-31,Approved
GR-C328675-ST0,"Cross-platform radical groupware","Stephenson Ltd Council",53438.40,27488.99,2023-10-30,2025-02-12,Denied
GR-C329676-RO4,"Compatible regional synergy","Ross and Sons Institute",55344.58,32925.13,2023-07-24,2024-06-22,Pending
GR-C332113-SH3,"Customizable coherent service-desk","Shea, Burns and Fernandez Fund",40640.06,36173.46,2022-08-13,2024-04-27,Approved
GR-C343064-PA2,"Centralized global access","Patterson and Sons Foundation",44329.84,27566.32,2022-09-12,2024-10-16,Approved
GR-C343121-HO2,"Centralized dedicated success","Holden, Gonzalez and Durham Federation",25254.61,18292.31,2023-02-22,2024-10-07,Pending
GR-C343420-HI6,"Configurable web-enabled help-desk","Higgins Group Trust",36400.28,27345.70,2022-06-06,2024-10-29,Pending
GR-C347579-VA0,"Cloned holistic migration","Valentine Ltd Foundation",96241.04,65350.13,2022-06-10,2025-02-17,Approved
GR-C351265-BR0,"Configurable asymmetric migration","Bryant, Fuller and Smith Foundation",13639.66,10202.99,2023-03-10,2024-06-24,Pending
GR-C351332-ST2,"Compatible discrete paradigm","Stewart, Sanchez and Franco Fund",55826.15,41632.77,2023-08-22,2024-08-22,Denied
GR-C357864-MO7,"Compatible static groupware","Morris-Fischer Foundation",94946.96,63369.93,2024-02-17,2025-03-22,Pending
GR-C359135-LE5,"Cross-platform asymmetric success","Leach, Wilson and Morgan Endowment",74500.96,62922.91,2022-10-05,2024-12-04,Denied
GR-C361987-LE9,"Cross-platform grid-enabled architecture","Lewis, Snyder and Thompson Institute",69215.95,38182.52,2023-03-29,2024-09-26,Pending
GR-C370149-CO8,"Cross-group motivating moratorium","Collins and Sons Institute",70056.79,43651.98,2022-09-08,2024-05-01,Denied
GR-C375415-RY4,"Cross-platform reciprocal complexity","Ryan-Mccann Trust",63199.85,52523.96,2024-02-14,2024-10-15,Approved
GR-C380850-HE0,"Cloned zero tolerance portal","Henderson-Frazier Endowment",39539.01,27365.59,2023-11-10,2024-09-11,Approved
GR-C391166-RI8,"Cross-platform object-oriented alliance","Rivera LLC Federation",60769.05,42671.89,2023-03-18,2024-04-01,Denied
GR-C402164-DI2,"Customizable leadingedge intranet","Dickson, Douglas and Watson Institute",59929.28,37132.67,2023-12-22,2025-02-21,Denied
GR-C411602-HA9,"Cloned impactful open system","Hart-Aguilar Council",93969.62,48057.46,2022-04-09,2024-10-31,Approved
GR-C424833-PO5,"Cross-group discrete frame","Powers, Young and Maldonado Trust",48883.18,26194.66,2022-04-05,2024-04-12,Pending
GR-C426852-BA4,"Cloned zero-defect leverage","Baker, Huff and Chapman Institute",14373.58,8065.75,2023-01-04,2024-10-11,Approved
GR-C438949-BR3,"Centralized fault-tolerant matrices","Brown LLC Institute",34786.49,19748.87,2023-07-03,2024-06-05,Denied
GR-C456767-PA9,"Compatible interactive moderator","Page LLC Endowment",70061.56,55029.09,2023-02-19,2025-01-19,Approved
GR-C457064-BU9,"Configurable radical moratorium","Burgess PLC Federation",67286.28,52876.80,2023-01-29,2024-05-14,Denied
